year,0.1,0.5,1,2.5,5,10,15,16.7,20,25,30,33.3,35,40,45,50,55,60,65,66.7,70,75,80,83.3,85,90,95,97.5,99,99.5,99.9,100
2030,2,4,8,9,11,13,14,16,16,17,17,18,19,19,20,20,21,21,22,23,23,23,24,25,25,26,27,29,31,33,34,37
2050,0,6,13,15,18,21,25,27,28,29,31,32,33,33,34,36,37,38,39,40,41,42,43,45,46,47,49,53,56,61,65,76
2100,-16,4,19,24,33,41,49,54,55,58,62,65,68,69,71,74,77,80,83,86,88,90,93,98,101,103,110,122,135,158,181,252
2150,-29,-4,23,31,43,53,67,75,78,82,89,94,98,99,104,109,115,120,125,131,133,137,144,152,158,162,175,202,238,296,363,525
2200,-49,-21,14,25,43,57,76,89,92,99,109,118,124,126,135,143,150,159,168,177,181,188,199,212,222,229,253,303,371,482,600,901
