Year, Month, Monthly_MSL
1928,9,-0.23
1928,10,-0.282
1928,11,-0.362
1928,12,-0.273
1929,1,-0.378
1929,2,-0.211
1929,3,-0.253
1929,4,-0.186
1929,5,-0.285
1929,6,-0.227
1929,7,-0.27
1929,8,-0.26
1929,9,-0.248
1929,10,-0.261
1929,11,-0.237
1929,12,-0.261
1930,1,-0.216
1930,2,-0.175
1930,3,-0.25
1930,4,-0.296
1930,5,-0.327
1930,6,-0.297
1930,7,-0.267
1930,8,-0.232
1930,9,-0.272
1930,10,-0.221
1930,11,-0.34
1930,12,-0.279
1931,1,-0.262
1931,2,-0.26
1931,3,-0.174
1931,4,-0.28
1931,5,-0.242
1931,6,-0.236
1931,7,-0.197
1931,8,-0.247
1931,9,-0.266
1931,10,-0.252
1931,11,-0.258
1931,12,-0.273
1932,1,-0.085
1932,2,-0.117
1932,3,-0.317
1932,4,-0.274
1932,5,-0.269
1932,6,-0.246
1932,7,-0.264
1932,8,-0.244
1932,9,-0.211
1932,10,-0.252
1932,11,-0.167
1932,12,-0.169
1933,1,-0.119
1933,2,-0.263
1933,3,-0.268
1933,4,-0.131
1933,5,-0.175
1933,6,-0.203
1933,7,-0.139
1933,8,-0.113
1933,9,-0.163
1933,10,-0.182
1933,11,-0.267
1933,12,-0.206
1934,1,-0.213
1934,2,-0.339
1934,3,-0.283
1934,4,-0.186
1934,5,-0.254
1934,6,-0.185
1934,7,-0.188
1934,8,-0.229
1934,9,-0.166
1934,10,-0.252
1934,11,-0.267
1934,12,-0.236
1935,1,-0.213
1935,2,-0.248
1935,3,-0.216
1935,4,-0.186
1935,5,-0.251
1935,6,-0.197
1935,7,-0.2
1935,8,-0.18
1935,9,-0.19
1935,10,-0.209
1935,11,-0.106
1935,12,-0.236
1936,1,-0.219
1936,2,-0.172
1936,3,-0.064
1936,4,-0.232
1936,5,-0.254
1936,6,-0.194
1936,7,-0.173
1936,8,-0.229
1936,9,-0.227
1936,10,-0.182
1936,11,-0.298
1936,12,-0.197
1937,1,-0.064
1937,2,-0.098
1937,3,-0.271
1937,4,-0.116
1937,5,-0.166
1937,6,-0.182
1937,7,-0.148
1937,8,-0.199
1937,9,-0.221
1937,10,-0.157
1937,11,-0.191
1937,12,-0.169
1938,1,-0.076
1938,2,-0.117
1938,3,-0.125
1938,4,-0.186
1938,5,-0.178
1938,6,-0.203
1938,7,-0.197
1938,8,-0.226
1938,9,-0.245
1938,10,-0.173
1938,11,-0.17
1938,12,-0.166
1939,1,-0.155
1939,2,-0.129
1939,3,-0.125
1939,4,-0.186
1939,5,-0.16
1939,6,-0.16
1939,7,-0.166
1939,8,-0.183
1939,9,-0.135
1939,10,-0.221
1939,11,-0.206
1939,12,-0.215
1940,1,-0.232
1940,2,-0.089
1940,3,-0.168
1940,4,-0.177
1940,5,-0.105
1940,6,-0.157
1940,7,-0.194
1940,8,-0.098
1940,9,-0.196
1940,10,-0.166
1940,11,-0.197
1940,12,-0.096
1941,1,-0.104
1941,2,-0.248
1941,3,-0.289
1941,4,-0.134
1941,5,-0.245
1941,6,-0.154
1941,7,-0.148
1941,8,-0.22
1941,9,-0.221
1941,10,-0.233
1941,11,-0.206
1941,12,-0.184
1942,1,-0.158
1942,2,-0.226
1942,3,-0.122
1942,4,-0.164
1942,5,-0.141
1942,6,-0.133
1942,7,-0.163
1942,8,-0.15
1942,9,-0.138
1942,10,-0.075
1942,11,-0.158
1942,12,-0.175
1943,1,-0.14
1943,2,-0.162
1943,3,-0.198
1943,4,-0.216
1943,5,-0.202
1943,6,-0.163
1943,7,-0.154
1943,8,-0.147
1943,9,-0.215
1943,10,-0.173
1943,11,-0.188
1943,12,-0.257
1944,1,-0.171
1944,2,-0.184
1944,3,-0.146
1944,4,-0.183
1944,5,-0.144
1944,6,-0.142
1944,7,-0.127
1944,8,-0.177
1944,9,-0.205
1944,10,-0.188
1944,11,-0.106
1944,12,-0.254
1945,1,-0.183
1945,2,-0.168
1945,3,-0.091
1945,4,-0.143
1945,5,-0.099
1945,6,-0.133
1945,7,-0.087
1945,8,-0.135
1945,9,-0.087
1945,10,-0.13
1945,11,-0.048
1945,12,-0.017
1946,1,-0.073
1946,2,-0.129
1946,3,-0.04
1946,4,-0.091
1946,5,-0.111
1946,6,-0.118
1946,7,-0.075
1946,8,-0.095
1946,9,-0.126
1946,10,-0.096
1946,11,-0.1
1946,12,-0.163
1947,1,-0.097
1947,2,-0.242
1947,3,-0.201
1947,4,-0.128
1947,5,-0.151
1947,6,-0.069
1947,7,-0.13
1947,8,-0.107
1947,9,-0.126
1947,10,-0.148
1947,11,0.007
1947,12,-0.2
1948,1,-0.204
1948,2,-0.107
1948,3,-0.073
1948,4,-0.134
1948,5,-0.102
1948,6,-0.112
1948,7,-0.106
1948,8,-0.168
1948,9,-0.135
1948,10,-0.115
1948,11,-0.06
1948,12,-0.032
1949,1,-0.03
1949,2,-0.04
1949,3,-0.21
1949,4,-0.149
1949,5,-0.117
1949,6,-0.102
1949,7,-0.124
1949,8,-0.119
1949,9,-0.202
1949,10,-0.112
1949,11,-0.173
1949,12,-0.218
1950,1,-0.14
1950,2,-0.129
1950,3,-0.302
1950,4,-0.21
1950,5,-0.184
1950,6,-0.224
1950,7,-0.194
1950,8,-0.168
1950,9,-0.132
1950,10,-0.115
1950,11,-0.063
1950,12,-0.075
1951,1,-0.125
1951,2,-0.117
1951,3,-0.003
1951,4,-0.11
1951,5,-0.129
1951,6,-0.041
1951,7,-0.136
1951,8,-0.122
1951,9,-0.141
1951,10,-0.102
1951,11,-0.185
1951,12,-0.151
1952,1,-0.1
1952,2,-0.056
1952,3,-0.079
1952,4,-0.119
1952,5,-0.087
1952,6,-0.163
1952,7,-0.16
1952,8,-0.159
1952,9,-0.12
1952,10,-0.221
1952,11,-0.081
1952,12,-0.017
1953,1,0.024
1953,2,-0.12
1953,3,-0.097
1953,4,-0.122
1953,5,-0.068
1953,6,-0.105
1953,7,-0.121
1953,8,-0.107
1953,9,-0.129
1953,10,-0.096
1953,11,-0.115
1953,12,-0.166
1954,1,-0.128
1954,2,-0.065
1954,3,-0.143
1954,4,-0.116
1954,5,-0.093
1954,6,-0.112
1954,7,-0.13
1954,8,-0.193
1954,9,-0.144
1954,10,-0.142
1954,11,-0.148
1954,12,-0.206
1955,1,-0.085
1955,2,-0.144
1955,3,-0.168
1955,4,-0.076
1955,5,-0.141
1955,6,-0.139
1955,7,-0.139
1955,8,-0.016
1955,9,-0.129
1955,10,-0.051
1955,11,-0.13
1955,12,-0.197
1956,1,-0.085
1956,2,-0.12
1956,3,-0.097
1956,4,-0.091
1956,5,-0.123
1956,6,-0.115
1956,7,-0.109
1956,8,-0.071
1956,9,-0.093
1956,10,-0.035
1956,11,-0.091
1956,12,-0.072
1957,1,-0.158
1957,2,-0.059
1957,3,-0.033
1957,4,-0.171
1957,5,-0.111
1957,6,-0.093
1957,7,-0.142
1957,8,-0.156
1957,9,-0.141
1957,10,-0.145
1957,11,-0.115
1957,12,-0.151
1958,1,-0.067
1958,2,-0.205
1958,3,-0.015
1958,4,0.003
1958,5,-0.108
1958,6,-0.099
1958,7,-0.127
1958,8,-0.113
1958,9,-0.129
1958,10,-0.057
1958,11,-0.075
1958,12,-0.102
1959,1,-0.14
1959,2,-0.156
1959,3,-0.137
1959,4,-0.064
1959,5,-0.184
1959,6,-0.166
1959,7,-0.142
1959,8,-0.08
1959,9,-0.117
1959,10,-0.038
1959,11,-0.109
1959,12,-0.041
1960,1,-0.036
1960,2,-0.053
1960,3,-0.168
1960,4,-0.088
1960,5,-0.01
1960,6,-0.051
1960,7,-0.081
1960,8,-0.052
1960,9,-0.059
1960,10,-0.093
1960,11,-0.094
1960,12,-0.19
1961,1,-0.134
1961,2,0.002
1961,3,0.028
1961,4,-0.046
1961,5,-0.093
1961,6,-0.121
1961,7,-0.118
1961,8,-0.119
1961,9,-0.111
1961,10,-0.105
1961,11,-0.084
1961,12,-0.084
1962,1,-0.119
1962,2,-0.022
1962,3,0.076
1962,4,-0.152
1962,5,-0.053
1962,6,-0.09
1962,7,-0.093
1962,8,-0.077
1962,9,-0.111
1962,10,-0.069
1962,11,-0.008
1962,12,-0.102
1963,1,-0.1
1963,2,-0.187
1963,3,-0.073
1963,4,-0.122
1963,5,-0.16
1963,6,-0.121
1963,7,-0.112
1963,8,-0.162
1963,9,-0.111
1963,10,-0.169
1963,11,-0.094
1963,12,-0.178
1964,1,-0.094
1964,2,-0.144
1964,3,-0.064
1964,4,-0.152
1964,5,-0.129
1964,6,-0.16
1964,7,-0.13
1964,8,-0.101
1964,9,-0.093
1964,10,-0.121
1964,11,-0.078
1964,12,-0.096
1965,1,-0.073
1965,2,-0.062
1965,3,-0.085
1965,4,-0.064
1965,5,-0.108
1965,6,-0.108
1965,7,-0.087
1965,8,-0.135
1965,9,-0.102
1965,10,-0.127
1965,11,-0.087
1965,12,-0.053
1966,1,-0.119
1966,2,-0.083
1966,3,-0.046
1966,4,-0.067
1966,5,-0.084
1966,6,-0.124
1966,7,-0.096
1966,8,-0.107
1966,9,-0.09
1966,10,-0.182
1966,11,-0.054
1966,12,-0.096
1967,1,-0.067
1967,2,-0.107
1967,3,-0.067
1967,4,-0.058
1967,5,-0.044
1967,6,-0.063
1967,7,-0.075
1967,8,-0.062
1967,9,-0.105
1967,10,-0.096
1967,11,-0.121
1967,12,0.017
1968,1,-0.085
1968,2,-0.111
1968,3,-0.134
1968,4,-0.073
1968,5,-0.047
1968,6,-0.038
1968,7,-0.063
1968,8,-0.092
1968,9,-0.065
1968,10,-0.115
1968,11,-0.051
1968,12,-0.172
1969,1,-0.116
1969,2,-0.071
1969,3,-0.067
1969,4,-0.097
1969,5,-0.071
1969,6,-0.002
1969,7,0.007
1970,1,-0.064
1970,2,-0.062
1970,3,-0.058
1970,4,-0.003
1970,5,-0.114
1970,6,-0.066
1970,7,-0.084
1970,8,-0.046
1970,9,-0.108
1970,10,-0.017
1970,11,0.065
1970,12,0.02
1971,1,-0.07
1971,2,0.005
1971,3,-0.088
1971,4,-0.07
1971,5,-0.059
1971,6,-0.041
1971,7,-0.084
1971,8,-0.116
1971,9,-0.047
1971,10,0.074
1971,11,-0.008
1971,12,-0.011
1972,1,-0.006
1972,2,-0.062
1972,3,0
1972,4,-0.006
1972,5,0.02
1972,6,0.007
1972,7,-0.029
1972,8,-0.046
1972,9,-0.035
1972,10,-0.081
1972,11,0.047
1972,12,0.053
1973,1,0.028
1973,2,0.021
1973,3,0.064
1973,4,-0.021
1973,5,-0.016
1973,6,-0.051
1973,7,-0.038
1973,8,-0.052
1973,9,-0.047
1973,10,-0.041
1973,11,-0.161
1973,12,-0.05
1974,1,0.085
1974,2,0.017
1974,3,-0.097
1974,4,-0.116
1974,5,-0.038
1974,6,-0.02
1974,7,-0.066
1974,8,-0.062
1974,9,-0.068
1974,10,-0.179
1974,11,-0.094
1974,12,0.032
1975,1,-0.027
1975,2,0.024
1975,3,-0.061
1975,4,-0.195
1975,5,-0.041
1975,6,-0.041
1975,7,-0.014
1975,8,-0.08
1975,9,-0.047
1975,10,-0.017
1975,11,0.047
1975,12,0.035
1977,1,-0.183
1977,2,-0.229
1977,3,-0.134
1977,4,-0.18
1977,5,-0.12
1977,6,-0.099
1977,7,-0.099
1977,8,-0.086
1977,9,0.008
1977,10,-0.099
1977,11,0.016
1977,12,0.044
1978,1,-0.03
1978,2,0.039
1978,3,-0.03
1978,4,0
1978,5,0.011
1978,6,-0.081
1978,7,-0.011
1978,8,-0.022
1978,9,0.026
1978,10,-0.011
1978,11,0.071
1978,12,-0.044
1979,1,-0.003
1979,2,-0.071
1979,3,0
1979,4,-0.064
1979,5,-0.068
1979,6,-0.051
1979,7,-0.054
1979,8,-0.065
1979,9,-0.029
1979,10,-0.081
1979,11,-0.045
1979,12,-0.09
1980,1,-0.003
1980,2,-0.095
1980,3,-0.146
1980,4,-0.006
1980,5,-0.038
1980,6,-0.124
1980,7,-0.106
1980,8,-0.077
1980,9,-0.093
1980,10,-0.13
1980,11,-0.145
1980,12,-0.136
1981,1,-0.14
1981,2,-0.08
1981,3,-0.094
1981,4,-0.164
1981,5,-0.035
1981,6,-0.081
1981,7,-0.066
1981,8,-0.04
1981,9,-0.056
1981,10,-0.118
1981,11,-0.066
1981,12,-0.099
1982,1,-0.119
1982,2,-0.007
1982,3,-0.049
1982,4,-0.183
1982,5,-0.059
1982,6,0.056
1982,7,-0.057
1982,8,-0.077
1982,9,-0.056
1982,10,0.019
1982,11,-0.048
1982,12,0.032
1983,1,0.012
1983,2,0.097
1983,3,0.088
1983,4,0.046
1983,5,-0.013
1983,6,-0.008
1983,7,-0.026
1983,8,0.009
1983,9,-0.026
1983,10,0.068
1983,11,0.047
1983,12,-0.004
1984,1,0.021
1984,2,0.051
1984,3,0.015
1984,4,0.156
1984,5,-0.062
1984,6,-0.026
1984,7,-0.054
1984,8,-0.004
1984,9,-0.062
1984,10,0.047
1984,11,-0.023
1984,12,0.014
1985,1,-0.067
1985,2,-0.034
1985,3,-0.073
1985,4,-0.049
1985,5,-0.013
1985,6,-0.063
1985,7,-0.017
1985,8,-0.028
1985,9,-0.111
1985,10,-0.023
1985,11,0.138
1985,12,-0.004
1986,1,-0.11
1986,2,0.06
1986,3,-0.082
1986,4,0.061
1986,5,-0.001
1986,6,-0.075
1986,7,-0.032
1986,8,-0.025
1986,9,-0.068
1986,10,-0.032
1986,11,-0.027
1986,12,0.032
1987,1,0.024
1987,2,-0.022
1987,3,0.119
1987,4,0.085
1987,5,-0.044
1987,6,-0.038
1987,7,-0.017
1987,8,-0.007
1987,9,-0.01
1987,10,-0.102
1987,11,-0.069
1987,12,0.029
1988,1,-0.052
1988,2,0.005
1988,3,-0.085
1988,4,0.061
1988,5,0.014
1988,6,-0.057
1988,7,-0.069
1988,8,-0.052
1988,9,-0.096
1988,10,-0.099
1988,11,-0.072
1988,12,-0.081
1989,1,-0.021
1989,2,-0.059
1989,3,-0.027
1989,4,-0.076
1989,5,-0.035
1989,6,-0.038
1989,7,-0.011
1989,8,-0.025
1989,9,-0.007
1989,10,-0.051
1989,11,-0.063
1989,12,-0.148
1990,1,-0.033
1990,2,-0.016
1990,3,-0.058
1990,4,-0.085
1990,5,-0.02
1990,6,-0.066
1990,7,-0.029
1990,8,-0.007
1990,9,-0.038
1990,10,-0.038
1990,11,-0.06
1990,12,-0.008
1991,1,0.058
1991,2,-0.004
1991,3,0.07
1991,4,-0.018
1991,5,-0.023
1991,6,-0.023
1991,7,0.004
1991,8,-0.043
1991,9,-0.056
1991,10,-0.048
1991,11,0.004
1991,12,-0.053
1992,1,0.04
1992,2,0.06
1992,3,-0.024
1992,4,0.003
1992,5,0.011
1992,6,0.013
1992,7,0.016
1992,8,-0.034
1992,9,-0.053
1992,10,-0.038
1992,11,0.05
1992,12,0.014
1993,1,0.085
1993,2,0.039
1993,3,0.028
1993,4,0.113
1993,5,0.032
1993,6,-0.035
1993,7,0.007
1993,8,0.033
1993,9,-0.013
1993,10,-0.017
1993,11,-0.014
1993,12,0.084
1994,1,-0.122
1994,2,0.018
1994,3,0.025
1994,4,-0.039
1994,5,-0.022
1994,6,-0.036
1994,7,-0.03
1994,8,-0.043
1994,9,-0.054
1994,10,0.001
1994,11,-0.057
1994,12,0.067
1995,1,-0.043
1995,2,-0.162
1995,3,-0.019
1995,4,-0.058
1995,5,0.029
1995,6,-0.014
1995,7,0.011
1995,8,0.102
1995,9,0.03
1995,10,0.034
1995,11,-0.002
1995,12,-0.024
1996,1,0.14
1996,2,0.013
1996,3,0.006
1996,4,0.038
1996,5,0.025
1996,6,0.045
1996,7,0.022
1996,8,0.048
1996,9,0.17
1996,10,0.112
1996,11,0.088
1996,12,0.204
1997,1,0.079
1997,2,0.104
1997,3,0.09
1997,4,0.049
1997,5,-0.028
1997,6,0.096
1997,7,0.014
1997,8,0.022
1997,9,-0.001
1997,10,0.013
1997,11,0.057
1997,12,0.066
1998,1,0.172
1998,2,0.275
1998,3,0.084
1998,4,0.107
1998,5,0.119
1998,6,0.026
1998,7,0.039
1998,8,0.068
1998,9,0.034
1998,10,-0.029
1998,11,-0.011
1998,12,0.02
1999,1,-0.004
1999,2,0.109
1999,3,-0.049
1999,4,0.032
1999,5,0.034
1999,6,-0.014
1999,7,0.004
1999,8,0.025
1999,9,0.016
1999,10,-0.04
1999,11,-0.057
1999,12,-0.03
2000,1,-0.148
2000,2,-0.11
2000,3,0.014
2000,4,-0.004
2000,5,0.031
2000,6,-0.037
2000,7,0.037
2000,8,-0.002
2000,9,-0.01
2000,10,-0.06
2000,11,0.006
2000,12,-0.123
2001,1,-0.011
2001,2,-0.029
2001,3,0.01
2001,4,0.006
2001,5,0.042
2001,6,-0.015
2001,7,0.022
2001,8,0.009
2001,9,0.034
2001,10,-0.029
2001,11,0.008
2001,12,0.061
2002,1,-0.06
2002,2,0.054
2002,3,-0.073
2002,4,-0.051
2002,5,-0.056
2002,6,0.014
2002,7,0.003
2002,8,0.02
2002,9,0.041
2002,10,0.098
2002,11,-0.021
2002,12,-0.001
2003,1,-0.03
2003,2,-0.049
2003,3,0.078
2003,4,0.08
2003,5,0.072
2003,6,0.041
2003,7,0.024
2003,8,0.018
2003,9,0.137
2003,10,0.023
2003,11,0.067
2003,12,0.032
2004,1,-0.105
2004,2,0.014
2004,3,0.055
2004,4,-0.024
2004,5,0.011
2004,6,0.034
2004,7,0.082
2004,8,0.064
2004,9,0.115
2004,10,0.174
2004,11,0.074
2004,12,0.081
2005,1,0.11
2005,2,0.154
2005,3,0.07
2005,4,0.166
2005,5,0.129
2005,6,0.102
2005,7,0.115
2005,8,0.112
2005,9,0.058
2005,10,0.078
2005,11,0.019
2005,12,0.009
2006,1,0.071
2006,2,0.045
2006,3,-0.003
2006,4,0.055
2006,5,0.106
2006,6,0.048
2006,7,0.032
2006,8,0.075
2006,9,0.14
2006,10,0.085
2006,11,0.12
2006,12,-0.02
2007,1,-0.034
2007,2,-0.239
2007,3,-0.099
2007,4,-0.036
2007,5,-0.022
2007,6,0.075
2007,7,0.053
2007,8,0.08
2007,9,0.023
2007,10,0.077
2007,11,0.016
2007,12,0.042
2008,1,0.016
2008,2,0.023
2008,3,0.06
2008,4,0.099
2008,5,0.129
2008,6,0.033
2008,7,0.041
2008,8,0.035
2008,9,0.072
2008,10,0.014
2008,11,-0.001
2008,12,-0.025
2009,1,-0.03
2009,2,-0.001
2009,3,0.039
2009,4,0.031
2009,5,0.029
2009,6,0.178
2009,7,0.134
2009,8,0.048
2009,9,0.097
2009,10,0.123
2009,11,0.188
2009,12,0.08
2010,1,0.026
2010,2,0.002
2010,3,0.211
2010,4,0.094
2010,5,0.066
2010,6,0.094
2010,7,0.065
2010,8,0.146
2010,9,0.105
2010,10,0.063
2010,11,0.132
2010,12,0.022
2011,1,0.064
2011,2,0.056
2011,3,0.152
2011,4,0.14
2011,5,0.224
2011,6,0.14
2011,7,0.136
2011,8,0.125
2011,9,0.201
2011,10,0.136
2011,11,0.111
2011,12,0.132
2012,1,0.07
2012,2,0.064
2012,3,0.13
2012,4,0.077
2012,5,0.129
2012,6,0.185
2012,7,0.122
2012,8,0.135
2012,9,0.046
2012,10,0.119
2012,11,0.141
2012,12,0.205
2013,1,0.114
2013,2,0.078
2013,3,0.148
2013,4,0.102
2013,5,0.036
2013,6,0.071
2013,7,0.108
2013,8,0.124
2013,9,0.087
2013,10,0.163
2013,11,-0.009
2013,12,0.097
2014,1,0.059
2014,2,0.059
2014,3,0.062
2014,4,0.131
2014,5,0.131
2014,6,0.152
2014,7,0.103
2014,8,0.16
2014,9,0.124
2014,10,0.162
2014,11,0.031
2014,12,0.151
2015,1,0.022
2015,2,0.015
2015,3,-0.027
2015,4,0.047
2015,5,0.016
2015,6,0.109
2015,7,0.164
2015,8,0.121
2015,9,0.146
2015,10,0.148
2015,11,0.101
2015,12,0.194
2016,1,0.124
2016,2,0.141
2016,3,0.136
2016,4,0.122
2016,5,0.1
2016,6,0.085
2016,7,0.103
2016,8,0.093
2016,9,0.199
2016,10,0.131
2016,11,0.07
2016,12,0.075
2017,1,0.131
2017,2,0.124
2017,3,-0.043
2017,4,0.181
2017,5,0.201
2017,6,0.134
2017,7,0.149
2017,8,0.174
2017,9,0.156
2017,10,0.155
2017,11,0.152
2017,12,0.067
2018,1,-0.049
2018,2,0.096
2018,3,0.138
2018,4,0.097
2018,5,0.13
2018,6,0.205
2018,7,0.199
2018,8,0.142
2018,9,0.283
2018,10,0.149
2018,11,0.14
2018,12,0.269
2019,1,0.208
2019,2,0.157
2019,3,0.167
2019,4,0.16
2019,5,0.231
2019,6,0.166
2019,7,0.183
2019,8,0.199
2019,9,0.228
2019,10,0.292
2019,11,0.174
2019,12,0.172
2020,1,0.194
2020,2,0.188
2020,3,0.213
2020,4,0.198
2020,5,0.116
2020,6,0.165
2020,7,0.184
2020,8,0.164
2020,9,0.174
2020,10,0.15
2020,11,0.125
2020,12,0.184
2021,1,0.221
2021,2,0.199
2021,3,0.11
2021,4,0.126
2021,5,0.044
2021,6,0.127
2021,7,0.135
2021,8,0.16
2021,9,0.174
2021,10,0.266
2021,11,0.147
2021,12,0.168
2022,1,0.173
2022,2,0.099
2022,3,0.089
2022,4,0.086
2022,5,0.226
2022,6,0.154
2022,7,0.109
2022,8,0.11
2022,9,0.131
